Date,Open,High,Low,Close,Volume
2024-04-05 00:00:00+00:00,68487.8,68756.67,67760.93,68160.0,2845.27692
2024-04-05 02:00:00+00:00,68160.0,68161.82,67435.67,67863.99,2929.0783
2024-04-05 04:00:00+00:00,67864.0,68028.0,66380.0,66888.04,3622.15817
2024-04-05 06:00:00+00:00,66888.03,67179.56,66770.86,66930.74,2036.05111
2024-04-05 08:00:00+00:00,66930.75,67684.26,66383.01,66805.98,3362.2495
2024-04-05 10:00:00+00:00,66805.99,67213.84,66388.0,66478.0,2558.4848
2024-04-05 12:00:00+00:00,66478.0,67589.61,65952.56,67500.0,6323.89908
2024-04-05 14:00:00+00:00,67500.01,68566.66,67314.11,68190.62,5457.25193
2024-04-05 16:00:00+00:00,68190.62,68380.0,67358.93,67442.49,2544.85927
2024-04-05 18:00:00+00:00,67442.49,68096.0,67316.0,67412.4,3519.32522
2024-04-05 20:00:00+00:00,67412.41,67838.07,67342.0,67515.45,1571.33513
2024-04-05 22:00:00+00:00,67515.44,67966.67,67503.31,67820.62,1145.2613
2024-04-06 00:00:00+00:00,67820.63,68065.2,67643.47,67689.99,1617.06154
2024-04-06 02:00:00+00:00,67689.99,67882.5,67447.83,67788.01,1559.71487
2024-04-06 04:00:00+00:00,67788.0,68232.14,67602.0,68038.74,1684.9679
2024-04-06 06:00:00+00:00,68038.75,68189.33,67845.2,67992.02,1385.46418
2024-04-06 08:00:00+00:00,67992.02,68120.0,67747.86,67792.0,1631.68267
2024-04-06 10:00:00+00:00,67792.0,67904.35,67615.22,67668.16,1011.1789
2024-04-06 12:00:00+00:00,67668.16,67796.69,67527.78,67699.99,1448.11779
2024-04-06 14:00:00+00:00,67700.0,68299.0,67684.0,68104.0,2120.15025
2024-04-06 16:00:00+00:00,68104.01,68484.09,67948.83,68287.3,1412.78457
2024-04-06 18:00:00+00:00,68287.3,68415.0,68163.62,68259.98,950.33401
2024-04-06 20:00:00+00:00,68259.99,68434.88,68166.66,68299.65,1002.89952
2024-04-06 22:00:00+00:00,68299.65,69692.0,68286.33,68896.0,4309.93299
2024-04-07 00:00:00+00:00,68896.0,69655.16,68824.0,69541.65,2105.02221
2024-04-07 02:00:00+00:00,69541.65,69777.0,69250.0,69408.05,1965.28929
2024-04-07 04:00:00+00:00,69408.04,69493.98,69053.97,69397.76,1236.73667
2024-04-07 06:00:00+00:00,69397.76,69482.44,69110.81,69364.01,1270.10029
2024-04-07 08:00:00+00:00,69364.0,69555.0,69199.01,69289.99,1472.47793
2024-04-07 10:00:00+00:00,69290.0,69495.15,69200.0,69357.0,936.49911
2024-04-07 12:00:00+00:00,69357.0,69550.0,69210.0,69349.93,1209.55853
2024-04-07 14:00:00+00:00,69349.93,69886.03,69220.0,69543.74,2299.29801
2024-04-07 16:00:00+00:00,69543.73,70326.29,69483.9,69798.01,3911.5858
2024-04-07 18:00:00+00:00,69798.02,69828.0,68849.77,69068.01,2454.04552
2024-04-07 20:00:00+00:00,69068.01,69413.1,68960.01,69031.3,1087.81107
2024-04-07 22:00:00+00:00,69031.3,69477.18,68901.0,69360.39,1586.3199
2024-04-08 00:00:00+00:00,69360.38,69841.03,69043.24,69437.02,1638.91426
2024-04-08 02:00:00+00:00,69437.03,69500.0,69126.36,69458.95,1144.64921
2024-04-08 04:00:00+00:00,69458.95,69801.0,69280.0,69701.99,1002.39311
2024-04-08 06:00:00+00:00,69702.0,70850.0,69632.73,70698.63,4741.49706
2024-04-08 08:00:00+00:00,70698.64,72650.0,70642.0,72197.25,11983.58804
2024-04-08 10:00:00+00:00,72197.26,72647.86,71792.06,72404.0,5599.9645
2024-04-08 12:00:00+00:00,72404.0,72797.99,71691.35,71944.31,6322.21677
2024-04-08 14:00:00+00:00,71944.31,71987.0,71245.17,71773.98,5072.03005
2024-04-08 16:00:00+00:00,71773.98,72021.56,71300.0,71699.23,2591.48492
2024-04-08 18:00:00+00:00,71699.23,72104.05,71564.51,71766.0,2618.0235
